"Genes","cluster","logFC_4","P.Value_4","logFC_8","P.Value_8","logFC_12","P.Value_12","logFC_16","P.Value_16","significant_timepoints","direction_type","Host factor type","logFC_mean_sig","logFC_abs_max_sig","logFC_max_with_sign_sig","pattern"
"ACAD10",2,0.042979348,0.762675572,-0.109370885,0.386101347,0.127187913,0.295871975,0.956138816,7.29e-06,"16h","all_up","0",0.956138816,0.956138816,0.956138816,"16h_all_up"
"ACRC",5,-0.056609024,0.691341885,0.672342264,0.001817006,0.623363359,0.007801775,1.904441708,1.22e-12,"8h,12h,16h","all_up","0",1.066715777,1.904441708,1.904441708,"8h,12h,16h_all_up"
"ACSBG1",5,-0.046529612,0.227033776,0.04145824,0.449521437,0.251681696,5.17e-05,1.26212062,5.72e-13,"16h","all_up","0",1.26212062,1.26212062,1.26212062,"16h_all_up"
"ACSL3",4,0.009338708,0.922735894,0.005678302,0.941637063,-0.216084924,0.026448224,-0.681896288,2.62e-06,"16h","all_down","0",-0.681896288,0.681896288,-0.681896288,"16h_all_down"
"ACTA1",5,-0.065470503,0.509837381,0.373854509,0.00034241,0.372619102,0.000985766,1.353558485,4.76e-12,"16h","all_up","0",1.353558485,1.353558485,1.353558485,"16h_all_up"
"ACVR1",4,0.006460598,0.953104532,-0.206976143,0.030901934,-0.07935228,0.456737445,-0.6079247,7.27e-05,"16h","all_down","0",-0.6079247,0.6079247,-0.6079247,"16h_all_down"
"AHCTF1",4,0.11686716,0.265282472,0.212587394,0.051737528,-0.045703147,0.697182904,-0.680119821,1.3e-06,"16h","all_down","0",-0.680119821,0.680119821,-0.680119821,"16h_all_down"
"ALDH3B1",3,-0.276435974,0.410980746,-1.428804356,0.000219252,0.122233939,0.686961105,0.221912946,0.273389469,"8h","all_down","0",-1.428804356,1.428804356,-1.428804356,"8h_all_down"
"ALDH9A1",4,0.059715368,0.517032596,-0.24204636,0.037337138,-0.05510011,0.647482008,-0.609294692,0.000577973,"16h","all_down","0",-0.609294692,0.609294692,-0.609294692,"16h_all_down"
"ALG1L2",5,0.134383383,0.270874698,1.439508197,1.36e-08,4.776923219,1.71e-13,5.642849196,2.06e-18,"8h,12h,16h","all_up","0",3.953093537,5.642849196,5.642849196,"8h,12h,16h_all_up"
"ALPK3",5,5.25e-05,0.999575262,0.213087098,0.018083171,0.347131899,0.000871848,1.725462793,3.57e-12,"16h","all_up","HDF",1.725462793,1.725462793,1.725462793,"16h_all_up"
"AMOT",4,0.128901678,0.330833006,-0.35531059,0.003518167,-0.178191476,0.056238845,-0.901465626,1.39e-06,"16h","all_down","HDF",-0.901465626,0.901465626,-0.901465626,"16h_all_down"
"AMOTL2",2,-0.106610051,0.311163903,0.144864431,0.356514095,-0.003460416,0.977203933,1.009317818,2.44e-06,"16h","all_up","0",1.009317818,1.009317818,1.009317818,"16h_all_up"
"ANKRD26P1",5,0.060602573,0.192750452,0.068756755,0.079848423,0.140147532,0.007117798,0.65300048,7.72e-05,"16h","all_up","0",0.65300048,0.65300048,0.65300048,"16h_all_up"
"ANXA8L2",5,-0.042951037,0.591731043,0.252087713,0.001940831,0.005505293,0.941065225,0.587427626,3.81e-08,"16h","all_up","0",0.587427626,0.587427626,0.587427626,"16h_all_up"
"AOC3",5,0.069196848,0.3816889,0.395611627,0.000175896,0.150488951,0.081782327,1.137034565,4.39e-10,"16h","all_up","0",1.137034565,1.137034565,1.137034565,"16h_all_up"
"AP3D1",5,0.080256167,0.473803763,0.105474302,0.24444311,0.17446591,0.124762007,0.586992208,1.32e-06,"16h","all_up","0",0.586992208,0.586992208,0.586992208,"16h_all_up"
"APEX2",4,-0.166476496,0.107590082,-0.082829988,0.367623271,-0.135691446,0.253039039,-1.037275426,3.34e-07,"16h","all_down","0",-1.037275426,1.037275426,-1.037275426,"16h_all_down"
"APOLD1",5,-0.143054791,0.241406299,0.171164291,0.149340266,0.193990852,0.351880323,0.953560447,3.15e-05,"16h","all_up","0",0.953560447,0.953560447,0.953560447,"16h_all_up"
"AQP1",5,-0.078415021,0.481318916,0.221921905,0.016185517,0.38105341,0.000272491,0.961241679,3.78e-09,"16h","all_up","0",0.961241679,0.961241679,0.961241679,"16h_all_up"
"AQP5",3,-0.166961081,0.284312601,-0.613851014,0.000642872,-0.13283132,0.404216232,-0.104740757,0.272073025,"8h","all_down","0",-0.613851014,0.613851014,-0.613851014,"8h_all_down"
"ARHGAP5",6,0.209635448,0.077443394,0.020066367,0.85682617,0.015889824,0.892790396,0.591840589,1.65e-05,"16h","all_up","0",0.591840589,0.591840589,0.591840589,"16h_all_up"
"ARID5A",5,-0.218399654,0.042954433,-0.032097756,0.687952661,0.181110569,0.056990001,0.604142308,7.39e-07,"16h","all_up","HDF",0.604142308,0.604142308,0.604142308,"16h_all_up"
"ARL9",5,0.001139088,0.985395231,0.113273009,0.11519211,0.056878025,0.513282639,0.742100591,2.96e-09,"16h","all_up","0",0.742100591,0.742100591,0.742100591,"16h_all_up"
"ASB15",5,-0.010883654,0.917379382,0.426994695,0.013256669,0.311609292,0.148211786,1.279869192,4.89e-12,"16h","all_up","0",1.279869192,1.279869192,1.279869192,"16h_all_up"
"ASNS",5,-0.052023034,0.606091909,0.15073096,0.1112096,0.035710582,0.668262464,0.775985454,9.2e-08,"16h","all_up","0",0.775985454,0.775985454,0.775985454,"16h_all_up"
"ASPRV1",5,-0.059138407,0.74346445,0.511157885,0.002155338,0.059949382,0.686320684,1.515542759,2.15e-09,"16h","all_up","0",1.515542759,1.515542759,1.515542759,"16h_all_up"
"ASTE1",4,0.096166079,0.261602483,0.159360733,0.191786288,-0.114893416,0.298891796,-0.612305886,2.44e-05,"16h","all_down","0",-0.612305886,0.612305886,-0.612305886,"16h_all_down"
"ASXL1",5,-0.057213494,0.572510961,0.266729102,0.019693094,0.09871887,0.337033545,0.61971522,1.06e-06,"16h","all_up","0",0.61971522,0.61971522,0.61971522,"16h_all_up"
"ATF3",5,-0.18879851,0.256867754,0.060212384,0.634031037,0.198703356,0.084675914,1.752946622,5.59e-12,"16h","all_up","HRF",1.752946622,1.752946622,1.752946622,"16h_all_up"
"ATP8B5P",4,0.118409233,0.260981282,-0.236089792,0.008229257,-0.566441005,7.04e-05,-0.743556816,0.000482242,"16h","all_down","0",-0.743556816,0.743556816,-0.743556816,"16h_all_down"
"B4GALNT1",1,-0.16560293,0.217005113,0.319885182,0.008722358,-0.032546984,0.715364089,-0.646205151,4.24e-06,"16h","all_down","0",-0.646205151,0.646205151,-0.646205151,"16h_all_down"
"BAIAP2L2",2,-0.127480077,0.071588053,0.034165235,0.610610911,0.048167424,0.521005858,0.712359061,8.76e-07,"16h","all_up","0",0.712359061,0.712359061,0.712359061,"16h_all_up"
"BANP",5,-0.086932988,0.371151199,0.356174132,0.00601376,-0.017462056,0.88039821,0.642538954,2.04e-06,"16h","all_up","0",0.642538954,0.642538954,0.642538954,"16h_all_up"
"BARD1",4,0.178797629,0.109566476,0.066262801,0.487528119,-0.148268458,0.140151597,-0.713079238,2.02e-07,"16h","all_down","0",-0.713079238,0.713079238,-0.713079238,"16h_all_down"
"BCL11A",2,-0.204168462,0.216487377,0.351619787,0.01726375,-0.023631505,0.867453469,0.858053387,4.71e-07,"16h","all_up","HDF",0.858053387,0.858053387,0.858053387,"16h_all_up"
"BCL6",5,-0.081879824,0.483965853,0.335593181,0.012239634,0.165476828,0.239163293,0.840854188,2.8e-08,"16h","all_up","0",0.840854188,0.840854188,0.840854188,"16h_all_up"
"BCL6B",5,0.0337655,0.702974749,-0.024758157,0.777966029,0.299989906,0.005477197,0.649834494,5.95e-05,"16h","all_up","0",0.649834494,0.649834494,0.649834494,"16h_all_up"
"BDKRB2",5,-0.206854884,0.0600691,-0.02404089,0.552610108,-0.004251376,0.940532184,0.911985206,3.56e-11,"16h","all_up","0",0.911985206,0.911985206,0.911985206,"16h_all_up"
"BEST1",5,0.019504603,0.581132849,0.294483845,0.00130993,1.254190356,2.31e-06,1.917230321,4.79e-07,"12h,16h","all_up","0",1.585710339,1.917230321,1.917230321,"12h,16h_all_up"
"BIK",5,-0.064465073,0.198655324,-0.10499501,0.042751929,0.12194257,0.031617321,0.604579498,5.07e-08,"16h","all_up","0",0.604579498,0.604579498,0.604579498,"16h_all_up"
"BMP2K",4,0.096524286,0.257525789,0.016391995,0.83260739,-0.271378999,0.005683795,-0.588766,8.46e-07,"16h","all_down","HDF",-0.588766,0.588766,-0.588766,"16h_all_down"
"BMPER",5,-0.004395992,0.973478648,0.204044014,0.06146844,0.075680087,0.559649754,0.890635456,3.6e-06,"16h","all_up","0",0.890635456,0.890635456,0.890635456,"16h_all_up"
"BRCA1",4,0.005281912,0.944017101,0.097547324,0.338192207,-0.095474214,0.357355664,-0.625922696,2.26e-06,"16h","all_down","HDF",-0.625922696,0.625922696,-0.625922696,"16h_all_down"
"BREA2",2,-0.155091172,0.35925951,0.574799619,0.001268935,0.163789316,0.32889,0.925592169,4.52e-07,"16h","all_up","0",0.925592169,0.925592169,0.925592169,"16h_all_up"
"C10orf120",5,0.006898234,0.898845114,0.089589812,0.118108659,0.297687078,0.00222731,0.773930223,3.98e-08,"16h","all_up","0",0.773930223,0.773930223,0.773930223,"16h_all_up"
"C10orf35",4,-0.058332218,0.638075501,0.374131534,0.009027924,-0.397367778,0.005443492,-0.843260998,9.07e-08,"16h","all_down","0",-0.843260998,0.843260998,-0.843260998,"16h_all_down"
"C12orf28",5,-0.053776651,0.148951281,0.152777651,0.109243615,0.04609791,0.265102181,0.712320553,3.03e-10,"16h","all_up","0",0.712320553,0.712320553,0.712320553,"16h_all_up"
"C12orf47",4,0.118035974,0.264979421,0.239662372,0.115928318,-0.199267986,0.238116391,-0.669080396,2.22e-05,"16h","all_down","HDF",-0.669080396,0.669080396,-0.669080396,"16h_all_down"
"C16orf52",5,-0.009352051,0.912376224,0.161792057,0.09403032,0.02735319,0.773953699,0.62070145,1.62e-07,"16h","all_up","0",0.62070145,0.62070145,0.62070145,"16h_all_up"
"C17orf52",5,-0.015312866,0.684514257,0.1013917,0.077446987,0.108460888,0.03153353,0.720762701,2.8e-10,"16h","all_up","0",0.720762701,0.720762701,0.720762701,"16h_all_up"
"C1S",5,0.021836808,0.788685816,0.194240681,0.054211779,0.39666031,0.002055172,1.176149905,2.27e-09,"16h","all_up","0",1.176149905,1.176149905,1.176149905,"16h_all_up"
"C1orf190",4,-0.101593259,0.379549911,0.136732796,0.164186409,-0.102322542,0.361088307,-0.609796057,1.14e-06,"16h","all_down","0",-0.609796057,0.609796057,-0.609796057,"16h_all_down"
"C1orf216",4,0.164272541,0.087089021,0.027047189,0.747264908,0.01829506,0.823088396,-0.678106523,4.02e-05,"16h","all_down","0",-0.678106523,0.678106523,-0.678106523,"16h_all_down"
"C20orf132",5,0.016494546,0.870738305,0.361132105,0.001837145,0.010312348,0.914205713,0.807905176,1.18e-07,"16h","all_up","0",0.807905176,0.807905176,0.807905176,"16h_all_up"
"C22orf43",2,-0.182432167,0.255071153,-0.149397811,0.267128577,0.090909277,0.553447312,0.740901494,1.24e-07,"16h","all_up","0",0.740901494,0.740901494,0.740901494,"16h_all_up"
"C2orf48",5,0.073534814,0.557221909,0.454390221,0.000896135,0.440375955,0.004668267,0.746629431,1.14e-06,"16h","all_up","0",0.746629431,0.746629431,0.746629431,"16h_all_up"
"C3orf32",5,-0.072495765,0.393574311,0.143439167,0.078272211,-0.010680358,0.904116751,0.696837876,1.96e-07,"16h","all_up","0",0.696837876,0.696837876,0.696837876,"16h_all_up"
"C4orf46",4,0.064974434,0.467883587,-0.14210036,0.21227278,-0.404372954,0.000740152,-0.594240238,0.001367274,"16h","all_down","0",-0.594240238,0.594240238,-0.594240238,"16h_all_down"
"C4orf47",5,0.012127949,0.875213219,0.256322854,0.053243863,0.142739053,0.197020663,0.704955297,3.8e-07,"16h","all_up","0",0.704955297,0.704955297,0.704955297,"16h_all_up"
"C5AR1",5,0.047695313,0.228671774,-0.017885632,0.79064005,0.101510396,0.016830318,0.673118052,1.57e-09,"16h","all_up","0",0.673118052,0.673118052,0.673118052,"16h_all_up"
"C5orf27",2,-0.153513373,0.188233382,-0.354055003,0.009207833,-0.022315338,0.831444853,0.835739513,1.9e-07,"16h","all_up","0",0.835739513,0.835739513,0.835739513,"16h_all_up"
"C5orf41",5,0.040883144,0.614756718,0.109657287,0.270382784,-0.02061544,0.809416132,0.788954026,1.37e-06,"16h","all_up","0",0.788954026,0.788954026,0.788954026,"16h_all_up"
"C6orf136",4,-0.017628696,0.913601237,-0.317101177,0.005743972,-0.223363493,0.072861735,-0.793326288,2.21e-06,"16h","all_down","HDF",-0.793326288,0.793326288,-0.793326288,"16h_all_down"
"C7orf25",4,0.15987158,0.186909092,0.02661637,0.717223683,-0.146494755,0.106298958,-0.606952228,1.19e-05,"16h","all_down","0",-0.606952228,0.606952228,-0.606952228,"16h_all_down"
"C7orf53",5,0.0701294,0.599585623,0.426775185,0.00121967,0.216151519,0.144485859,1.38490803,9.3e-10,"16h","all_up","0",1.38490803,1.38490803,1.38490803,"16h_all_up"
"C8G",2,-0.050135731,0.507312246,0.173382853,0.011614313,0.12896246,0.052899595,0.687578549,4.15e-08,"16h","all_up","0",0.687578549,0.687578549,0.687578549,"16h_all_up"
"C8orf4",5,0.013570806,0.678504126,-0.015134525,0.615346627,0.032741013,0.265091554,0.940604802,1.8e-10,"16h","all_up","0",0.940604802,0.940604802,0.940604802,"16h_all_up"
"C9orf82",4,-0.009897629,0.918900817,0.017207217,0.871285369,-0.790010245,8.02e-06,-0.850909523,7.24e-06,"12h,16h","all_down","0",-0.820459884,0.850909523,-0.850909523,"12h,16h_all_down"
"CA2",4,0.072798254,0.49981288,-0.171890366,0.081255213,-0.16531016,0.071253118,-0.646830244,0.000591998,"16h","all_down","HDF",-0.646830244,0.646830244,-0.646830244,"16h_all_down"
"CACNB4",5,0.076950361,0.116903305,-0.129913603,0.083047859,0.109747159,0.154852434,0.653137213,2.36e-08,"16h","all_up","0",0.653137213,0.653137213,0.653137213,"16h_all_up"
"CANX",6,0.285051528,0.102532614,-0.110011174,0.53258589,0.371256261,0.035434753,0.934524564,1.94e-08,"16h","all_up","0",0.934524564,0.934524564,0.934524564,"16h_all_up"
"CARHSP1",4,-0.145740944,0.129629695,-0.1540666,0.097218089,-0.304158302,0.034006956,-0.85359633,7.97e-07,"16h","all_down","0",-0.85359633,0.85359633,-0.85359633,"16h_all_down"
"CASP2",4,-0.011696166,0.895429903,-0.082877546,0.351781524,-0.226799452,0.047335691,-0.812102326,3.16e-07,"16h","all_down","0",-0.812102326,0.812102326,-0.812102326,"16h_all_down"
"CASP3",5,0.032095608,0.685701134,0.168116672,0.110327882,-0.05816358,0.551545889,0.654272158,7.03e-08,"16h","all_up","HRF",0.654272158,0.654272158,0.654272158,"16h_all_up"
