drug_id,ID,UP,Entrezid
DB00001,DM1I3D5,P00734,2147
DB00002,DMLNCE0,P00533,1956
DB00004,DMMHR1U,,
DB00005,DMCV109,P01375,7124
DB00006,DMECRX1,P00734;P39051,2147;7175
DB00007,DM15HAT,P30968,2798
DB00007,DM5XPIJ,P01148,2796
DB00008,DMJI3BA,P01563,3440
DB00009,DMRJ3YX,P00747,5340
DB00010,DM25HP1,Q02643,2692
DB00011,DM4AK0Q,P48551,3455
DB00012,DMMJTYW,P19235,2057
DB00013,DM0GOUD,P00749,5328
DB00014,DMAT8CG,P01148,2796
DB00015,DML0D1P,P00747,5340
DB00016,DM3R8YL,P19235,2057
DB00017,DMEWUPF,P30988,799
DB00018,DMTZNQ9,,
DB00019,DM7UP8X,Q99062,1441
DB00020,DMY0M8J,P15509,1438
DB00022,DMAP58Y,P01563,3440
DB00024,DMMYLTI,P16473,7253
DB00026,DM2F9YO,P14778,3554
DB00026,DMU8KOD,P14778,3554
DB00029,DM6Q4B0,P00747,5340
DB00031,DMJYN25,P00747,5340
DB00032,DM4CF18,P23945,2492
DB00033,DMWUMRL,P38484,3460
DB00035,DMS3GVE,P30518;P37288;P30559;P47901,554;552;5021;553
DB00038,DMTSRI6,Q14626,3590
DB00039,DM9JOYP,P21802,2263
DB00040,DMFLUTR,P47871,2642
DB00041,DM4YMIS,P60568,3558
DB00043,DMETVFJ,P30273,2207
DB00044,DM7K5GD,P22888,3973
DB00050,DMFD9Q6,P30968,2798
DB00051,DMQMV1B,P01375,7124
DB00054,DMJO6GV,P08514;P05106,3674;3690
DB00055,DM59JCN,P00451;P12259,2157;2153
DB00056,DMJ2O7B,P20138,945
DB00060,DM1A6RV,P01574,3456
DB00063,DMQXTJS,P08514;P05106,3674;3690
DB00065,DMH7OIA,P01375,7124
DB00067,DMQ2FPC,P30518,554
DB00068,DMCN61Z,P48551,3455
DB00069,DM90WJH,P48551,3455
DB00070,DMETWAU,,
DB00072,DMZQOUX,P04626,2064
DB00073,DM1YVZT,P11836,931
DB00073,DMBUH26,P11836,931
DB00074,DMWNRZT,P01589,3559
DB00075,DM8ANCF,P07766,916
DB00080,DMFDQ3I,,
DB00080,DMKDU16,P0AC13,
DB00081,DMMYZ3D,P11836,931
DB00082,DMDEZI3,P10912,2690
DB00086,DM5JQ0D,P00747,5340
DB00087,DMZL3IV,P31358,1043
DB00091,DMAZJFX,,
DB00092,DMMYPWO,P19256,965
DB00093,DMHLP9C,P37288,552
DB00094,DMG9HIA,P23945,2492
DB00095,DMCKL5V,P20701,3683
DB00097,DMFMZ3G,P22888,3973
DB00102,DM1R5X4,P09619,5159
DB00105,DMWCQP4,P01563,3440
DB00106,DM5WFNP,P30968,2798
DB00107,DMDL27I,P30518;P37288;P30559;P47901,554;552;5021;553
DB00109,DM7YPM1,,
DB00110,DMQM9S0,P03420,
DB00111,DM6OZQV,P60568,3558
DB00112,DMKT16N,P15692;P49765;P49767;O43915,7422;7423;7424;2277
DB00112,DMSD1UN,P15692,7422
DB00114,DMO2K0J,P00734;P80404,2147;18
DB00116,DMH15UV,,
DB00117,DMJ5BDQ,Q8WUX1;Q8IY34;Q8N697,92745;51296;121260
DB00118,DMYQDBO,,
DB00119,DM7Q41G,P80404,18
DB00120,DMQXI9F,P07101,7054
DB00121,DMKMCE1,,
DB00122,DM5D9YK,Q15822,1135
DB00123,DMOD5CK,Q5T6X5,222545
DB00125,DMRE4FC,,
