Cluster,Cluster_label,Gene
1,Cluster_1,AADAT
1,Cluster_1,AARS2
2,Cluster_2,ABCA7
3,Cluster_3,ABCC10
4,Cluster_4,ABHD6
3,Cluster_3,ABI3
1,Cluster_1,ABR
2,Cluster_2,ACAD10
1,Cluster_1,ACCN2
5,Cluster_5,ACE2
2,Cluster_2,ACOT9
5,Cluster_5,ACRC
5,Cluster_5,ACSBG1
2,Cluster_2,ACSF2
4,Cluster_4,ACSL3
1,Cluster_1,ACSS1
5,Cluster_5,ACTA1
4,Cluster_4,ACTR8
4,Cluster_4,ACVR1
2,Cluster_2,ACYP2
6,Cluster_6,ADAM10
2,Cluster_2,ADAM8
2,Cluster_2,ADAMTS10
2,Cluster_2,ADAMTS13
4,Cluster_4,ADC
2,Cluster_2,ADCY7
2,Cluster_2,ADM
2,Cluster_2,ADRBK2
2,Cluster_2,ADSL
4,Cluster_4,AFAP1
3,Cluster_3,AGBL3
2,Cluster_2,AGMAT
2,Cluster_2,AGPAT4
4,Cluster_4,AHCTF1
2,Cluster_2,AHNAK
1,Cluster_1,AHSA2
3,Cluster_3,AIF1
3,Cluster_3,AIM1L
4,Cluster_4,AKAP12
1,Cluster_1,ALDH1A3
5,Cluster_5,ALDH1L2
3,Cluster_3,ALDH3B1
4,Cluster_4,ALDH9A1
5,Cluster_5,ALG1L2
6,Cluster_6,ALG8
4,Cluster_4,ALKBH4
5,Cluster_5,ALPK3
4,Cluster_4,ALS2
3,Cluster_3,ALS2CL
6,Cluster_6,AMH
3,Cluster_3,AMN
4,Cluster_4,AMOT
2,Cluster_2,AMOTL2
2,Cluster_2,ANAPC1
2,Cluster_2,ANKRD26
5,Cluster_5,ANKRD26P1
2,Cluster_2,ANKRD29
2,Cluster_2,ANKRD40
4,Cluster_4,ANKRD45
4,Cluster_4,ANKRD46
4,Cluster_4,ANKRD50
4,Cluster_4,ANKRD52
2,Cluster_2,ANP32C
2,Cluster_2,ANXA4
5,Cluster_5,ANXA8L2
5,Cluster_5,AOC3
5,Cluster_5,AP3D1
5,Cluster_5,APC2
4,Cluster_4,APEX2
2,Cluster_2,APOE
5,Cluster_5,APOLD1
2,Cluster_2,APOM
2,Cluster_2,APOOL
2,Cluster_2,APOPT1
4,Cluster_4,APPL2
5,Cluster_5,AQP1
3,Cluster_3,AQP5
2,Cluster_2,ARAP3
5,Cluster_5,AREG
4,Cluster_4,ARF6
2,Cluster_2,ARG2
6,Cluster_6,ARHGAP11B
6,Cluster_6,ARHGAP17
4,Cluster_4,ARHGAP22
3,Cluster_3,ARHGAP40
6,Cluster_6,ARHGAP5
6,Cluster_6,ARHGAP8
4,Cluster_4,ARID3B
5,Cluster_5,ARID5A
2,Cluster_2,ARID5B
6,Cluster_6,ARL6IP1
5,Cluster_5,ARL9
6,Cluster_6,ARMC8
4,Cluster_4,ARRDC4
3,Cluster_3,ARSD
3,Cluster_3,ARSF
3,Cluster_3,ARSH
5,Cluster_5,ASB15
6,Cluster_6,ASCC3
5,Cluster_5,ASNS
2,Cluster_2,ASPHD1
5,Cluster_5,ASPM
5,Cluster_5,ASPRV1
2,Cluster_2,ASS1
4,Cluster_4,ASTE1
5,Cluster_5,ASXL1
4,Cluster_4,ATAD5
5,Cluster_5,ATF3
2,Cluster_2,ATP6AP1L
4,Cluster_4,ATP8B5P
2,Cluster_2,ATXN1
3,Cluster_3,ATXN8
6,Cluster_6,AURKA
1,Cluster_1,B4GALNT1
5,Cluster_5,BACH2
2,Cluster_2,BAIAP2L2
6,Cluster_6,BAMBI
5,Cluster_5,BANP
4,Cluster_4,BARD1
2,Cluster_2,BATF3
5,Cluster_5,BAZ2B
2,Cluster_2,BBS9
4,Cluster_4,BCAR3
2,Cluster_2,BCHE
2,Cluster_2,BCL11A
3,Cluster_3,BCL2L1
5,Cluster_5,BCL6
5,Cluster_5,BCL6B
4,Cluster_4,BCLAF1
5,Cluster_5,BDKRB2
5,Cluster_5,BEST1
4,Cluster_4,BHLHB9
2,Cluster_2,BHLHE41
5,Cluster_5,BIK
4,Cluster_4,BLCAP
